time,KE,dt
0.00371,5483961301.9956,2.6440416544961e-05
0.00372,5520884908.6163,2.6440416544961e-05
0.00373,5557866368.7045,2.6440416544929e-05
0.00374,5594903373.2075,2.6440416544961e-05
0.00375,5631993777.9162,2.6440416544961e-05
0.00376,5669135586.8504,2.6440416544961e-05
0.00377,5706326940.3783,2.6440416544961e-05
0.00378,5743566110.5899,2.6440416544961e-05
0.00379,5780851505.3699,2.6440416544961e-05
0.0038,5818181681.4723,2.6440416544961e-05
0.00381,5855555365.7152,2.6440416544961e-05
0.00382,5892971482.3655,2.5025576933512e-05
0.00383,5930429183.9338,2.5025576933512e-05
0.00384,5967927882.0318,2.6440416544961e-05
0.00385,6005467274.6501,2.5025576933512e-05
0.00386,6043047366.3466,2.6440416544961e-05
0.00387,6080668478.2528,2.6440416544961e-05
0.00388,6118331245.4214,2.5025576933511e-05
0.00389,6156036599.9834,2.6440416544961e-05
0.0039,6193785739.6489,2.6440416544961e-05
0.00391,6231580082.1103,2.6440416544961e-05
0.00392,6269421207.0435,2.6440416544961e-05
0.00393,6307310788.2495,2.6440416544962e-05
0.00394,6345250519.2113,2.6440416544961e-05
0.00395,6383242035.8569,2.6440416544961e-05
0.00396,6421286840.4719,2.6440416544962e-05
0.00397,6459386230.6133,2.6440416544961e-05
0.00398,6497541236.4965,2.6440416544961e-05
0.00399,6535752569.7172,2.6440416544961e-05
0.004,6574020585.3663,2.6440416544961e-05
0.00401,6612345258.6908,2.3949208032666e-05
0.00402,6650726176.5071,2.6440416544961e-05
0.00403,6689162542.6619,2.6440416544962e-05
0.00404,6727653196.0359,2.6440416544961e-05
0.00405,6766196638.9456,2.0067989361603e-05
0.00406,6804791073.3609,2.6440416544961e-05
0.00407,6843434442.1557,2.6440416544961e-05
0.00408,6882124472.6383,2.6440416544961e-05
0.00409,6920858719.8042,2.6440416544961e-05
0.0041,6959634607.2219,2.6440416544961e-05
0.00411,6998449463.9786,2.6440416544961e-05
0.00412,7037300556.7126,2.6440416544961e-05
0.00413,7076185116.4308,2.6440416544961e-05
0.00414,7115100360.386,2.6440416544962e-05
0.00415,7154043509.7816,2.6440416544961e-05
0.00416,7193011804.5099,2.6440416544961e-05
0.00417,7232002516.2989,2.6440416544961e-05
0.00418,7271012961.69,2.6440416544961e-05
0.00419,7310040516.22,2.6440416544961e-05
0.0042,7349082630.8071,2.6440416544961e-05
0.00421,7388136851.0761,2.6440416544962e-05
0.00422,7427200839.846,2.6440416544961e-05
0.00423,7466272402.4844,2.6440416544961e-05
0.00424,7505349514.4131,2.6440416544961e-05
